Temperature (K),Diffusion Coefficient (m^2/s),1/T (1/K),ln(D)
900.0,5.911820572867532e-14,0.0011111111111111111,-30.45923746838158
905.0505050505051,6.601711617712266e-14,0.0011049107142857143,-30.34886235048902
910.10101010101,7.363085277862888e-14,0.0010987791342952275,-30.239712261651878
915.1515151515151,8.20238021264235e-14,0.0010927152317880796,-30.131766919932137
920.2020202020202,9.126523215441258e-14,0.0010867178924259056,-30.025006488659375
925.2525252525253,1.0142958669839595e-13,0.0010807860262008733,-29.91941156427824
930.3030303030303,1.1259679259113993e-13,0.0010749185667752444,-29.814963164591795
935.3535353535353,1.2485257952741987e-13,0.0010691144708423327,-29.711642717385764
940.4040404040404,1.3828881292578055e-13,0.001063372717508056,-29.609432049419325
945.4545454545455,1.5300384000385812e-13,0.0010576923076923077,-29.50831337576877
950.5050505050505,1.6910284927365334e-13,0.0010520722635494156,-29.408269289510887
955.5555555555555,1.866982436521848e-13,0.0010465116279069768,-29.30928275173353
960.6060606060606,2.0591002737148039e-13,0.0010410094637223974,-29.2113370818613
965.6565656565656,2.268662068599399e-13,0.0010355648535564854,-29.114415948284805
970.7070707070707,2.497032057546992e-13,0.0010301768990634756,-29.018503359282462
975.7575757575758,2.7456629419179537e-13,0.0010248447204968944,-28.92358365422425
980.8080808080808,3.0161003250774113e-13,0.00101956745623069,-28.829641495047166
985.8585858585859,3.3099872947245044e-13,0.0010143442622950818,-28.7366618579928
990.9090909090909,3.629069151595549e-13,0.0010091743119266055,-28.6446300255975
995.959595959596,3.9751982854581557e-13,0.001004056795131846,-28.553531578926293
1001.010101010101,4.3503391991676885e-13,0.0009989909182643794,-28.463352390041877
1006.060606060606,4.756573681408567e-13,0.0009939759036144578,-28.37407861470048
1011.1111111111111,5.196106128592237e-13,0.000989010989010989,-28.285696685266586
1016.1616161616162,5.671269016229718e-13,0.0009840954274353876,-28.198193303838995
1021.2121212121212,6.18452851994225e-13,0.0009792284866468842,-28.111555435580815
1026.2626262626263,6.738490286116134e-13,0.0009744094488188976,-28.025770302246436
1031.3131313131312,7.335905352050234e-13,0.0009696376101860922,-27.940825375898683
1036.3636363636363,7.979676215285418e-13,0.0009649122807017544,-27.85670837280968
1041.4141414141413,8.672863051645282e-13,0.0009602327837051407,-27.77340724753919
1046.4646464646464,9.418690081357102e-13,0.0009555984555984557,-27.690910187184443
1051.5151515151515,1.0220552082462484e-12,0.0009510086455331412,-27.609205605795633
1056.5656565656566,1.108202105056468e-12,0.0009464627151051625,-27.528282138951656
1061.6161616161617,1.2006853003802599e-12,0.0009419600380589914,-27.448128638490587
1066.6666666666667,1.2998994931778839e-12,0.0009375,-27.368734167389945
1071.7171717171718,1.406259188701359e-12,0.0009330819981149857,-27.29008799479167
1076.7676767676767,1.520199421733716e-12,0.000928705440900563,-27.21217959116711
1081.8181818181818,1.6421764937478525e-12,0.0009243697478991597,-27.134998623617474
1086.8686868686868,1.7726687237953086e-12,0.0009200743494423792,-27.058534951305287
1091.919191919192,1.9121772129201153e-12,0.0009158186864014801,-26.98277862101264
1096.969696969697,2.0612266218777124e-12,0.0009116022099447513,-26.907719862822134
1102.020202020202,2.2203659619243007e-12,0.0009074243813015581,-26.833349085916602
1107.0707070707072,2.390169398427337e-12,0.0009032846715328467,-26.759656874493785
1112.121212121212,2.57123706703374e-12,0.000899182561307902,-26.68663398379234
1117.171717171717,2.7641959021183675e-12,0.000895117540687161,-26.614271336225627
1122.2222222222222,2.9697004772216403e-12,0.0008910891089108911,-26.54256001761991
1127.2727272727273,3.188433857172042e-12,0.0008870967741935484,-26.471491273553667
1132.3232323232323,3.4211084615760947e-12,0.0008831400535236397,-26.401056505794887
1137.3737373737374,3.668466939345907e-12,0.0008792184724689165,-26.331247268833252
1142.4242424242425,3.931283053922219e-12,0.0008753315649867373,-26.262055266504348
1147.4747474747473,4.210362578838981e-12,0.0008714788732394367,-26.19347234870299
1152.5252525252524,4.506544203264158e-12,0.0008676599474145487,-26.125490508182974
1157.5757575757575,4.820700447140447e-12,0.0008638743455497383,-26.058101877440617
1162.6262626262626,5.153738585538996e-12,0.0008601216333622936,-25.991298725679513
1167.6767676767677,5.506601581829331e-12,0.000856401384083045,-25.92507345585406
1172.7272727272727,5.880269029258649e-12,0.0008527131782945736,-25.859418601789383
1177.7777777777778,6.275758100524836e-12,0.0008490566037735849,-25.79432682537534
1182.8282828282827,6.69412450491851e-12,0.0008454312553373187,-25.729790913832474
1187.878787878788,7.1364634526015804e-12,0.0008418367346938775,-25.665803777047618
1192.9292929292928,7.603910625581128e-12,0.0008382726502963591,-25.602358444977288
1197.979797979798,8.09764315493174e-12,0.0008347386172006746,-25.539448065116655
1203.030303030303,8.61888060381043e-12,0.0008312342569269522,-25.47706590003235
1208.080808080808,9.168885955804047e-12,0.0008277591973244147,-25.41520532495711
1213.1313131313132,9.748966608141992e-12,0.0008243130724396336,-25.353859825444527
1218.1818181818182,1.036047536930205e-11,0.0008208955223880597,-25.293022995082133
1223.2323232323233,1.1004811460532439e-11,0.0008175061932287365,-25.23268853326113
1228.2828282828282,1.1683421520808604e-11,0.0008141447368421054,-25.172850243001157
1233.3333333333333,1.2397800614739795e-11,0.0008108108108108109,-25.113502028828485
1238.3838383838383,1.314949324293635e-11,0.0008075040783034258,-25.054637894706165
1243.4343434343434,1.3940094354346868e-11,0.0008042242079610073,-24.996251942014567
1248.4848484848485,1.4771250360070912e-11,0.0008009708737864077,-24.938338367580993
1253.5353535353536,1.5644660148151504e-11,0.000797743755036261,-24.880891461756875
1258.5858585858587,1.6562076098850673e-11,0.0007945425361155698,-24.8239056065413
1263.6363636363635,1.752530509990899e-11,0.0007913669064748202,-24.767375273749508
1268.6868686868686,1.8536209561291393e-11,0.0007882165605095542,-24.71129502322517
1273.7373737373737,1.9596708428919458e-11,0.0007850911974623316,-24.65565950109515
1278.7878787878788,2.070877819689273e-11,0.0007819905213270142,-24.600463438065688
1283.8383838383838,2.187445391770072e-11,0.0007789142407553108,-24.545701647758722
1288.888888888889,2.309583020993027e-11,0.0007758620689655172,-24.49136902508739
1293.939393939394,2.4375062262972433e-11,0.0007728337236533958,-24.437460544669545
1298.9898989898988,2.57143668382376e-11,0.0007698289269051323,-24.383971259278276
1304.0404040404042,2.7116023266388722e-11,0.000766847405112316,-24.330896298328454
1309.090909090909,2.8582374440104243e-11,0.0007638888888888889,-24.278230866398314
1314.141414141414,3.0115827801890124e-11,0.0007609531129900077,-24.22597024178508
1319.1919191919192,3.1718856326456846e-11,0.0007580398162327719,-24.17410977509385
1324.2424242424242,3.3393999497189666e-11,0.0007551487414187642,-24.12264488785869
1329.2929292929293,3.5143864276237207e-11,0.0007522796352583586,-24.071571071195226
1334.3434343434342,3.697112606775401e-11,0.000749432248296745,-24.020883884483798
1339.3939393939395,3.887852967383423e-11,0.000746606334841629,-23.970578954082406
1344.4444444444443,4.0868890242680176e-11,0.000743801652892562,-23.920651972068704
1349.4949494949494,4.29450942085569e-11,0.0007410179640718564,-23.871098695010197
1354.5454545454545,4.51101002230859e-11,0.000738255033557047,-23.821914942761968
1359.5959595959596,4.736694007744237e-11,0.0007355126300148589,-23.77309659729121
1364.6464646464647,4.971871961502277e-11,0.0007327905255366395,-23.724639601527866
1369.6969696969697,5.216861963416002e-11,0.0007300884955752212,-23.67653995824065
1374.7474747474748,5.471989678046679e-11,0.0007274063188831741,-23.62879372893791
1379.7979797979797,5.737588442839915e-11,0.0007247437774524158,-23.581397032792587
1384.8484848484848,6.013999355163706e-11,0.0007221006564551422,-23.534346045590702
1389.8989898989898,6.301571358188706e-11,0.0007194767441860466,-23.48763699870278
1394.949494949495,6.600661325572164e-11,0.0007168718320057929,-23.441266178077626
1400.0,6.911634144907695e-11,0.0007142857142857143,-23.395229923257848
